citizenid,total_property_owned,years_at_current_address,zipcode,address
17110,1,1,72834,"9207 Stephanie Vista, West William, KS 72834"
85692,1,8,63680,"5614 Ward Plains, North Ricky, NV 63680"
48366,2,4,84612,"653 Taylor Pike, Lake Erika, CA 84612"
37373,1,7,67019,"4474 Gerald Forest Suite 680, Huangport, SC 67019"
13446,1,7,78884,"7094 Taylor Falls, East George, VT 78884"
68311,1,6,76011,"2207 Marquez Manor Apt. 399, North Josephburgh, MA 76011"
14337,1,0,96369,"81025 Melissa Creek, New Juliamouth, TN 96369"
75427,1,8,80919,"1898 Kimberly Cove, West Jessicaside, LA 80919"
21687,3,10,33312,"332 Jennifer Vista, South Brentberg, NE 33312"
77535,1,10,6641,"USS Medina, FPO AA 06641"
66771,1,9,78054,"224 Kayla Viaduct, East Kimberlychester, LA 78054"
18518,1,4,4193,"18015 Alexander Squares Apt. 480, Tranhaven, NM 04193"
39561,1,7,22884,"Unit 7464 Box 8834, DPO AE 22884"
92764,1,9,34851,"505 Justin Rapid Apt. 431, Port Ashleyshire, OH 34851"
56150,1,2,44332,"60927 Jamie Spur, Lake Thomas, AL 44332"
57120,1,8,48337,"PSC 9613, Box 5303, APO AA 48337"
60214,2,7,13512,"4684 Marcus Trafficway, Ortizstad, MT 13512"
52259,1,8,23826,"479 Andrew Common Suite 773, Bishoptown, MS 23826"
43446,1,7,41062,"6777 Romero Port, Port Ethan, NE 41062"
96331,1,8,62464,"9251 Aaron Light, Josephmouth, AZ 62464"
88626,1,8,34901,"734 Walters Port Suite 977, Williamsshire, VT 34901"
24005,1,9,58284,"90133 Snow Burgs, Ginamouth, FL 58284"
55645,1,7,89661,"13607 Ray Islands, Lake Dawnchester, NE 89661"
67054,3,5,95678,"0764 Vincent Rue Suite 365, North John, RI 95678"
73842,1,7,71807,"25915 Faulkner Park Suite 074, Erinhaven, MO 71807"
83766,3,7,57130,"6756 Hector Knoll Suite 854, Pattersonfurt, MO 57130"
21987,4,6,58110,"13583 Kevin Ridges Apt. 892, Port Thomastown, TX 58110"
48030,1,4,8525,"10949 Brittany Brooks Suite 181, West Ryanchester, NJ 08525"
88556,1,7,7656,"8741 Dean Hills, Justinbury, OH 07656"
98510,1,7,14364,"PSC 9033, Box 5401, APO AE 14364"
77718,5,5,75186,"963 Guerrero Gateway Suite 943, Port Tylermouth, MN 75186"
94024,8,10,3619,"3684 Emily Mill Suite 961, Campbellmouth, OH 03619"
42292,6,5,61435,"49817 Perez Causeway, Lake Miguelburgh, DE 61435"
89019,2,7,63253,"Unit 7933 Box 4683, DPO AE 63253"
32724,1,7,22799,"67422 Obrien Street, Port Alexandra, MT 22799"
44613,1,7,68895,"029 Shannon Heights, New Calebland, OK 68895"
68842,2,6,33174,"Unit 8675 Box 2324, DPO AA 33174"
87710,2,7,58657,"2617 Hudson Garden, West Catherineside, WA 58657"
46665,1,5,99026,"17095 Amanda Canyon Apt. 048, Dianachester, NH 99026"
22035,1,2,4686,"9308 Abigail Track, Hamptonton, CO 04686"
23033,4,6,95893,"2244 William Drives, Port Luisfort, ME 95893"
11154,1,7,34342,"786 Patrick Passage Suite 952, Port Allen, SD 34342"
27691,1,7,66105,"6031 Amy Estate Suite 948, North Johnathanview, NC 66105"
28893,3,9,89436,"12143 Michael Village, South Samuel, IN 89436"
70834,1,5,40851,"Unit 1538 Box 3284, DPO AA 40851"
21753,1,4,11685,"7056 Devin Fork Apt. 868, North Jessica, IL 11685"
95281,1,1,78689,"01068 Ryan Valleys, Port Tamarastad, SC 78689"
83068,0,2,76452,"60636 Kirsten Mall, North Julianchester, MN 76452"
90016,1,4,88652,"313 Bell Street Apt. 461, New Alison, KY 88652"
36244,1,7,30371,"66867 Jennifer Key Apt. 064, South Melaniefurt, WI 30371"
21625,4,9,37382,"886 Miller Stravenue Suite 722, Housemouth, CO 37382"
42936,1,4,79296,"660 Harris Brooks, Lake Kayla, LA 79296"
44513,1,5,14310,"5434 Brady Camp Suite 797, Port Robert, OH 14310"
48739,3,7,32156,"022 Sarah Fords, New Rachelstad, MD 32156"
28965,1,8,72694,"074 Singh Landing, West Elizabeth, NJ 72694"
61381,1,7,91072,"403 Sara Throughway, West Claudia, NJ 91072"
15354,2,7,74697,"256 Nicole Inlet Apt. 616, Woodview, NV 74697"
10295,1,5,77577,"73219 Scott Path Apt. 806, East Jenniferfurt, MD 77577"
24957,1,6,98746,"92842 Shepard Mews, Markshire, KY 98746"
72647,1,7,45556,"93093 Lawrence Lights, Sheilamouth, OH 45556"
69559,1,7,63336,"83935 Mitchell Turnpike Apt. 290, Dylanmouth, OR 63336"
38814,0,0,24824,"1827 Mendoza Fork, Clarkton, MO 24824"
46542,1,7,61419,"USNV Adams, FPO AA 61419"
25267,1,4,49529,"Unit 1614 Box 9753, DPO AA 49529"
40891,1,4,83339,"59485 David Row Suite 264, Andrealand, MT 83339"
42529,1,7,15308,"8493 Andrew Neck, South Rebeccahaven, IN 15308"
99865,1,2,13240,"96585 Sherry Loaf Apt. 741, South Emilyland, IL 13240"
14088,1,5,57701,"USS Griffin, FPO AP 57701"
31129,1,4,95938,"Unit 5541 Box 8812, DPO AE 95938"
46886,1,0,46260,"011 Cabrera Crest, Hectorbury, NJ 46260"
99694,1,5,11216,"842 Estrada Center Suite 359, New Michaelton, AR 11216"
63735,2,6,85355,"0376 Melissa Loop Suite 431, Davidport, VA 85355"
23439,1,7,23977,"5698 Willie Square Suite 538, Allenhaven, NE 23977"
29730,1,10,44779,"Unit 8683 Box 0554, DPO AA 44779"
29090,1,5,30878,"2003 Diana Shore, Juanbury, NH 30878"
41057,1,10,98961,"PSC 3198, Box 0808, APO AP 98961"
77392,3,7,78045,"8413 Dale Point Suite 300, Jesusbury, CT 78045"
82963,7,4,11108,"233 Hall Brooks, New Jenniferbury, AR 11108"
59675,1,7,37775,"75815 Martinez Row Apt. 755, Yvonneshire, VA 37775"
34066,1,8,11550,"45976 Andrew Groves, Goodwinside, MT 11550"
93095,1,2,58368,"53066 George Corners, Port Brandi, MI 58368"
98414,1,8,64738,"600 Stewart Haven Apt. 387, West Jacobchester, ND 64738"
76140,1,6,98944,"6536 Lopez Keys Apt. 667, West Andrewberg, IN 98944"
25041,1,8,78748,"83276 Bradley Dale Suite 310, North Josephton, WI 78748"
95793,1,10,63649,"94677 Amber Plains Suite 241, New Jesseland, CO 63649"
66876,1,10,61347,"0676 Vanessa Road Suite 826, Cochranview, HI 61347"
22684,1,10,91173,"510 Taylor Meadows, South Jasonhaven, OK 91173"
22526,1,4,93341,"54742 Page Valleys, Lydiaberg, TN 93341"
42650,3,7,57486,"PSC 4265, Box 9724, APO AA 57486"
40102,4,6,7776,"386 Tiffany Lodge, East Kristashire, MI 07776"
27860,9,4,16118,"714 David Turnpike Apt. 285, South Stephen, MI 16118"
33869,10,9,92741,"51598 Ramos Stream Suite 176, Jimenezborough, IN 92741"
43805,8,8,13766,"613 Pamela Extension, Michaelside, MN 13766"
61859,1,5,53829,"095 Duncan Cape Suite 329, Pattonshire, NH 53829"
13071,2,8,30982,"Unit 1730 Box 1941, DPO AA 30982"
58168,1,5,52443,"9803 Kelly Glens, West Matthewberg, TN 52443"
82974,1,2,14439,"PSC 5915, Box 2089, APO AA 14439"
89374,1,7,55456,"864 Melanie Lane Apt. 692, Estradamouth, WY 55456"
12833,1,6,53288,"5557 Sarah Mission Suite 680, Lake Emily, MS 53288"
29444,2,5,95897,"4878 Troy Motorway, Jensenmouth, RI 95897"
41725,10,5,47777,"2126 Cory Mountain, Paulberg, NH 47777"
59919,1,7,66445,"10248 Allen Spring, North Anneville, ND 66445"
27760,1,8,84396,"533 Campbell Stravenue, Huntton, FL 84396"
42067,1,5,47431,"6216 Robin Oval Apt. 502, South David, TX 47431"
64095,1,8,67292,"798 Cline Fall Apt. 117, East Philipport, AK 67292"
19620,1,7,50905,"096 Molly Shore, Prestonmouth, GA 50905"
89518,1,6,33465,"268 Brian Gateway, Candacechester, MA 33465"
57306,8,10,30420,"3027 Johnson Parkway, Lopezstad, CA 30420"
67666,1,5,1132,"Unit 3706 Box 3484, DPO AE 01132"
52426,1,10,24589,"350 Caitlyn Pines Suite 635, Michaelview, NE 24589"
94428,1,5,62912,"PSC 1139, Box 2186, APO AE 62912"
82756,1,6,64984,"8811 Carrie Roads, East Jennifer, AK 64984"
92586,1,8,58154,"42897 Meyer Key Suite 133, North Audrey, CT 58154"
91338,1,6,30455,"2788 Kelsey Hills Apt. 074, Lake Joannaville, PA 30455"
72243,1,10,99770,"109 Norman Light Suite 090, Jeremiahtown, WI 99770"
48851,2,10,89548,"10294 Jeremy Groves Suite 684, Lake Kristina, OR 89548"
18743,6,6,96629,"4048 Shannon Run, Cowanside, MO 96629"
91581,1,8,4145,"3892 Mark Meadows, New Matthew, WY 04145"
14230,1,4,15775,"8487 Walker Fall, Stonestad, CT 15775"
18550,1,4,23858,"82049 Williams Pine, East Davidmouth, FL 23858"
52572,1,5,6182,"3126 Cynthia Pines, West Laurenburgh, AK 06182"
36941,1,5,21754,"5166 Smith Turnpike, Robertsonborough, LA 21754"
30218,1,2,66192,"26464 Russell Points Apt. 189, Hernandezport, UT 66192"
81825,1,6,89849,"31551 Eric Creek, Gailfort, TN 89849"
70036,1,10,56189,"1812 Brett Track, South Jessicaberg, WA 56189"
63670,2,8,11902,"USCGC Lewis, FPO AA 11902"
63572,1,8,34562,"246 Montgomery Grove Suite 330, New Emmafort, KS 34562"
90830,1,8,57578,"5831 Craig Inlet, Alexisbury, AZ 57578"
72262,1,10,4771,"9000 Abigail Harbors, South Thomasview, CA 04771"
31079,1,7,64209,"468 Bell Estates Apt. 240, Raymondfort, WA 64209"
36060,1,4,71443,"07080 Yu Landing, North Tinaside, NJ 71443"
16266,1,7,4996,"6291 Sarah Stream Apt. 934, New Melissaville, WA 04996"
63254,1,7,29832,"0157 Michael Locks, Michaelstad, IN 29832"
81253,1,9,91580,"737 Schultz Ramp Apt. 620, South Derekstad, IN 91580"
67833,1,5,82934,"9808 Margaret Rapids, Emilychester, NV 82934"
24818,1,8,89740,"318 Jon Street, Justinside, PA 89740"
64832,3,7,6666,"4518 Daniel Lights Apt. 559, New Danielle, WA 06666"
37923,1,7,90181,"9824 Knapp Crossroad, New Kristie, IN 90181"
81233,2,6,8266,"1232 Adams Plaza Apt. 862, Cameronfort, MS 08266"
93377,1,6,59099,"06842 William Loop Apt. 690, West Lindsey, WY 59099"
77500,0,3,80791,"55372 Williams Spring, Bradleyshire, CO 80791"
45390,1,10,79911,"651 Walker Mission Suite 183, West Sarah, NM 79911"
39245,2,7,62202,"473 Matthews Manors Apt. 021, Port Jasonport, TN 62202"
66031,1,10,14518,"588 Stephanie Plain Apt. 439, North Kellymouth, MA 14518"
14382,1,9,67404,"8233 Coleman Freeway Suite 746, Gutierrezside, NH 67404"
48691,1,10,5169,"6282 Sarah Points, New Phillipshire, ME 05169"
57586,1,9,83629,"93179 Joseph Trace Suite 306, Lake Bobby, CA 83629"
71624,1,6,88917,"9722 Judith Glens, Chenville, NY 88917"
93660,1,6,79458,"8013 Cody Crest Suite 515, East Sandrafurt, ME 79458"
71534,1,7,31338,"927 Blair Estate, North Paul, MN 31338"
61197,1,6,13480,"751 Ortega Glen Apt. 702, East Briana, SC 13480"
40318,1,5,18721,"1795 Vargas Drives, Fullertown, CA 18721"
86607,2,9,92726,"1631 Tracy Burg Apt. 633, Matthewport, DE 92726"
22235,1,8,84280,"6326 Jose Isle, Stevenport, DE 84280"
36446,1,8,65249,"0417 Clark Junctions, Shannonton, NH 65249"
65582,1,5,49971,"1781 Amanda Hill Apt. 535, Port Brianside, WI 49971"
34008,3,8,4848,"29684 Harris Glen Suite 069, Jasonshire, SC 04848"
28063,1,10,60524,"Unit 5615 Box 9941, DPO AE 60524"
37389,1,6,15364,"30415 Dale Underpass, New Robert, ME 15364"
79062,1,9,23106,"PSC 8877, Box 2144, APO AA 23106"
90519,1,10,27370,"20548 Rice Vista, Madisonville, VA 27370"
54636,1,8,12013,"4991 Angela Light Apt. 444, Lake Kaylaborough, WY 12013"
19482,1,7,31651,"758 Don Road Suite 880, South Gabrielleland, FL 31651"
40470,1,8,22853,"1700 Hardin Pass, Lake Kimberly, HI 22853"
45164,1,6,78934,"9271 Angela Isle, Olsonmouth, ME 78934"
86377,1,10,60367,"4191 Doris Throughway Apt. 235, New Brett, KS 60367"
83135,3,6,60764,"8024 Dale Junction, South Jocelyn, MN 60764"
17208,1,6,3244,"5096 Samantha Radial, Coxtown, OH 03244"
86178,1,3,17455,"0078 Mitchell Trafficway, West Michaelland, WV 17455"
29209,4,4,20124,"2188 Thomas Spurs, Port Brendafort, SD 20124"
85126,1,2,55411,"13191 Jones Spurs, North Johnborough, NE 55411"
79197,1,6,35787,"73409 Anderson Curve Apt. 943, Terriport, NH 35787"
56503,1,8,27245,"84994 Amy Key Suite 043, Kennethchester, DC 27245"
52023,1,6,73570,"PSC 3703, Box 8397, APO AA 73570"
38072,1,10,49257,"531 Short Fall, North Ian, MO 49257"
32652,2,6,59244,"355 Riley Valley Suite 634, Lake Richardhaven, ID 59244"
40389,2,5,66283,"Unit 2036 Box 4493, DPO AE 66283"
18854,1,7,78518,"20204 Michelle Inlet Apt. 258, North Samuel, VT 78518"
95687,0,1,27452,"95861 Love Locks, Samuelmouth, NC 27452"
89666,7,7,96916,"546 David Cape Apt. 216, Port Andrea, KS 96916"
46075,1,8,58018,"9490 Clark Via, Hessview, AR 58018"
14205,2,5,38922,"PSC 8912, Box 3359, APO AP 38922"
65880,1,4,38531,"79973 Carolyn Estate, Alexanderborough, ME 38531"
39115,1,7,50607,"744 Jackson Common Apt. 658, North Johnfort, AK 50607"
35810,1,7,28939,"93779 Joel Cliff Apt. 452, Lake Jocelyn, UT 28939"
40097,1,10,89792,"2536 Anderson Station, Conniehaven, DC 89792"
68357,1,6,63851,"520 Martin Canyon Suite 293, Morrismouth, VT 63851"
26527,3,8,91642,"USNS Boyd, FPO AE 91642"
76405,1,6,8817,"Unit 0273 Box 7621, DPO AE 08817"
72917,1,7,54051,"724 Christian Islands, Vasquezmouth, TN 54051"
17863,1,6,91514,"3099 Kenneth Islands, Emilystad, WI 91514"
18543,1,5,20848,"USS Chan, FPO AP 20848"
64543,1,4,89321,"78393 Betty Knoll Suite 682, Jasminechester, ID 89321"
75852,1,6,16999,"0237 Connie Greens, Pattyview, VT 16999"
18485,1,10,75833,"501 Combs Mall Suite 961, Johnsonmouth, IL 75833"
71633,4,5,64100,"412 Henderson Point Apt. 371, Allenmouth, IN 64100"
99451,1,3,5679,"688 Richard Camp, Lake Charlesville, OH 05679"
44877,1,8,50888,"15105 Thomas Ferry, New Jared, NV 50888"
55632,3,5,92922,"825 Scott Prairie, Gregorytown, AZ 92922"
48757,1,7,10885,"USNS Harris, FPO AE 10885"
78792,1,5,12549,"6693 Crystal Inlet Apt. 792, Barnettfurt, NH 12549"
86419,1,8,33241,"18806 Shawn Meadow, New Thomas, MO 33241"
44548,1,8,86409,"Unit 9660 Box 3894, DPO AA 86409"
11670,1,7,61704,"61236 Victoria Forges Apt. 482, North Brittany, ND 61704"
27226,2,6,34957,"363 Thompson Street Apt. 399, North Jonathan, DC 34957"
50111,1,7,1239,"668 Dennis Fort Apt. 412, Chavezchester, UT 01239"
17294,1,6,18680,"74878 Dana Park Apt. 634, West Elizabeth, ME 18680"
37986,1,8,59794,"USS Hunter, FPO AP 59794"
57540,0,2,11221,"99975 Brent Points Apt. 322, Davidfort, SD 11221"
80289,1,6,32955,"06717 Smith Valleys Suite 108, Parkmouth, AZ 32955"
63663,1,7,89244,"8216 John Forks, Velezport, WV 89244"
69973,1,6,52936,"0194 Guerrero Pike Apt. 176, West Stephenburgh, SD 52936"
44284,1,10,14775,"262 Rodriguez Shores Apt. 045, Abigailfurt, UT 14775"
85447,1,4,76110,"686 Gonzales Ridges Apt. 536, Odomview, CO 76110"
68589,1,7,2177,"Unit 4290 Box 3292, DPO AP 02177"
69109,1,8,13575,"205 Campos Rue, Walkerview, WA 13575"
13715,1,7,585,"693 Melissa Loop Suite 864, Jenniferside, CO 00585"
23974,1,8,5889,"665 Hernandez Crest, New Andrew, NE 05889"
84724,1,6,96270,"4967 Denise Walk, North Rachelville, LA 96270"
65083,1,3,47584,"91029 Jessica Rapids Apt. 099, Dayton, MD 47584"
72721,1,4,55501,"4157 Tran Manors Suite 547, Katherineberg, MS 55501"
79009,1,7,38706,"6509 Murray Bridge Suite 097, East Javierville, IA 38706"
23426,1,5,13436,"2749 Jennifer Islands Apt. 600, Jodiport, LA 13436"
51370,1,8,75825,"695 Danielle Wells, West Patriciaton, WY 75825"
19755,3,9,60545,"02494 Rebekah Village Suite 808, Port Matthewfurt, CO 60545"
67082,1,5,49640,"93421 Campbell Meadows Suite 958, Mendezview, NC 49640"
25346,1,9,14203,"USS Cunningham, FPO AE 14203"
15879,10,4,40352,"6407 Marcus Coves Suite 656, Natalieton, ME 40352"
39997,1,4,1751,"85717 Garcia Inlet, Clayburgh, AK 01751"
53517,1,9,89853,"0588 Zachary Ridge, Jamesview, TX 89853"
66656,1,6,93896,"25046 Cody Mountains Apt. 801, Taylorfurt, AR 93896"
49424,1,7,72863,"074 Li Ridges, New James, WY 72863"
21500,1,6,25081,"90007 Shannon Pass Apt. 776, Amyborough, IN 25081"
13272,1,7,37679,"9881 Travis Forge Apt. 268, Ianmouth, AZ 37679"
12300,1,6,83820,"38977 Adrian Parkway Apt. 423, New Jennifer, WY 83820"
24369,1,6,46677,"072 Jake Road Suite 682, West Wanda, OH 46677"
95527,1,8,65016,"33489 Love Vista, North Ian, WA 65016"
63939,1,6,6530,"73205 Chavez Run, Delgadochester, AL 06530"
91870,3,4,56074,"94892 Brandon Dam Apt. 853, Sanchezchester, AZ 56074"
25482,1,5,54205,"40079 Holmes Path Suite 781, Joshuafort, NE 54205"
79684,1,8,90026,"01647 Henderson Cliff, Lake Christopher, WI 90026"
29863,1,5,67681,"PSC 1186, Box 6125, APO AE 67681"
93373,1,10,70755,"30706 Foley Trail Apt. 954, North Jenniferview, PA 70755"
55623,5,6,96592,"2874 Linda Square, Lake Shawnton, UT 96592"
45940,3,8,30373,"0826 Karina Views Suite 940, West Ryan, DC 30373"
51878,1,5,48548,"6732 Frances Summit, Reneeview, WY 48548"
90619,2,8,71537,"9747 Virginia Squares, North Amandashire, LA 71537"
63541,1,4,64763,"96488 Theresa Valley, Port Jason, ND 64763"
43698,4,4,69360,"819 Courtney Throughway, Williamborough, WY 69360"
21834,1,7,76098,"04895 Farrell Passage, South Francis, KY 76098"
99124,1,8,53979,"63309 Walker Ranch Suite 108, Powellchester, DC 53979"
85103,9,5,72791,"6289 Hanson Estate, Jeremystad, KS 72791"
92486,4,6,68187,"602 Montes Station, East Ryan, NM 68187"
16781,1,7,98081,"87329 Richard Stravenue Apt. 142, Careybury, MD 98081"
60088,2,7,65273,"826 Velasquez Mountain Apt. 705, North Natalie, NH 65273"
39109,1,7,9418,"63186 Pamela Field, North Christopherland, CO 09418"
99097,1,6,34430,"353 James Mall, Ramseybury, NM 34430"
57745,1,10,66743,"052 Alex Courts Apt. 315, Jimenezmouth, AZ 66743"
10581,1,4,86663,"319 Walker Streets Apt. 402, Rowemouth, CO 86663"
88368,1,2,6210,"481 Howard Road, Port Alan, IA 06210"
11447,1,6,95319,"2916 Mitchell Throughway Apt. 266, North Danielleside, MI 95319"
85736,1,9,20362,"56850 Blackwell Summit Suite 664, Deborahland, NM 20362"
38818,1,9,79634,"3726 Gonzalez Fields, Jordanhaven, NJ 79634"
57554,1,4,46521,"918 Rodriguez Locks, Dakotamouth, FL 46521"
97888,1,10,77665,"47011 Connor Coves Apt. 216, New Shawn, WY 77665"
13559,1,5,99517,"3917 Michael Mill Apt. 482, Richardsmouth, WY 99517"
81357,2,6,6605,"285 Osborne Burgs Suite 769, Port Andrewburgh, UT 06605"
64109,1,7,56849,"87409 Powell Underpass, Jacobport, ID 56849"
75423,1,10,62975,"218 Kenneth Forest Suite 906, Lake Lori, ID 62975"
64326,1,5,7057,"107 Derrick Curve, Lake Rachelbury, NY 07057"
61079,1,8,67401,"181 Lee Gateway, East Cynthiaberg, IL 67401"
20307,1,9,6744,"07320 Turner Crossing, South Ashley, FL 06744"
69833,1,4,73693,"3586 Ortiz Cliffs Apt. 794, Bennettview, KY 73693"
35141,1,4,51102,"337 Wagner Village, Lindseyville, WY 51102"
25165,3,10,32938,"94620 Alex Glens, Port Lori, SC 32938"
51527,1,7,88712,"9112 Joshua Ridges, Jaclynburgh, TN 88712"
39522,1,7,98506,"00453 Angela Points Apt. 181, Wilcoxmouth, MT 98506"
28797,2,4,16752,"11225 Lindsey Falls, Adammouth, NM 16752"
50011,1,8,52898,"05727 Howard Islands Suite 381, South Crystal, WI 52898"
98439,6,8,50706,"6043 Haley Viaduct Apt. 610, Port Luis, KS 50706"
60732,6,8,52938,"805 Eric Keys, West Jessica, MO 52938"
93171,0,3,97353,"06505 Morgan Dale, Hughesside, MS 97353"
77020,1,4,13247,"75180 Joel Union, Port Karina, DC 13247"
44676,2,8,86198,"705 Henry Junction, Port Lancehaven, IL 86198"
35781,1,6,69919,"Unit 6586 Box 2020, DPO AA 69919"
96524,1,5,14652,"79591 Kyle Port, Melissaland, KS 14652"
87781,3,8,87570,"5503 Tara Prairie, Kellytown, ME 87570"
19562,1,7,59653,"06888 Willis Burg, Lake Rhondaburgh, MS 59653"
51208,1,8,74624,"53970 Erica Keys Apt. 735, Greeneton, TN 74624"
99782,1,6,98055,"468 Roman Cliffs Suite 497, West Danny, TX 98055"
65461,1,9,30345,"4575 Monica Radial, Donaldhaven, PA 30345"
64647,1,5,33356,"3197 Donna Rapids, Lake Danielle, OH 33356"
93381,2,4,4317,"9461 Larry Corners Apt. 170, South Angelicamouth, WA 04317"
10505,1,8,11624,"8280 Edward Stream Apt. 269, North James, AZ 11624"
11285,3,6,72045,"477 Ronnie Terrace Apt. 794, Lake Annaville, OR 72045"
67001,8,10,83029,"0638 Michael Motorway, Joannaview, GA 83029"
73841,2,10,32635,"516 Donna Views, Kristinafort, MN 32635"
91550,1,8,27454,"9788 Nixon Cliff, New Elizabeth, ME 27454"
89474,1,9,63517,"93627 Wilson Terrace, Jacksonland, NC 63517"
41341,1,8,75511,"072 Alice Camp Suite 529, Port Lorettaborough, WI 75511"
46954,1,7,60669,"6926 Ryan Union, Jorgeland, KS 60669"
81145,1,9,6087,"4078 Roberts Lock Suite 888, North Stacey, KS 06087"
26276,1,5,41606,"071 Barbara Ridge, Jamesville, AZ 41606"
15326,1,10,80626,"3990 Jamie Walk, North Alexander, NY 80626"
21643,1,10,20118,"0719 Matthew Parkways Suite 771, West Jacqueline, DC 20118"
43425,1,8,39918,"USS Waters, FPO AP 39918"
74244,1,6,17889,"994 Jacqueline Falls, Ellismouth, NE 17889"
10923,1,10,52216,"USNV Vargas, FPO AE 52216"
84831,2,8,24995,"971 Brooks Trail Apt. 954, Laurastad, MS 24995"
37480,5,5,63402,"Unit 2785 Box 2358, DPO AE 63402"
25808,7,7,4189,"74542 Nguyen Estate Suite 909, East Williamton, MN 04189"
48982,1,10,30335,"262 Frank Extensions Apt. 606, Danielton, VT 30335"
90242,4,10,20532,"8724 Day Turnpike Apt. 366, Mooreville, WY 20532"
80420,1,4,67597,"53178 Smith Fields, Johnsonton, MA 67597"
62663,4,7,44149,"913 Brown Square Suite 802, Burtonstad, CO 44149"
66142,1,5,7216,"114 Carrillo Heights, Wilkinsonmouth, CA 07216"
52329,1,10,11714,"12757 Debra Glen, Gaystad, MS 11714"
56543,4,8,78699,"327 Cory Via, South Thomasview, AR 78699"
20774,1,6,80184,"7532 Wilson Key Apt. 032, Gibsonfort, RI 80184"
74184,1,10,73077,"9671 Allen Isle, Charlesmouth, NH 73077"
73911,1,7,26372,"54682 Cameron Passage Apt. 188, Austinmouth, FL 26372"
86160,1,10,48714,"707 Amanda Tunnel, Lake Hollyton, MD 48714"
18667,1,5,68260,"0464 Martin Drives, Lake Paul, KY 68260"
75607,2,5,55337,"751 Carol Unions, Brianborough, WA 55337"
97940,2,5,37291,"357 Andrea Spring, Lorimouth, NY 37291"
88259,1,2,20921,"177 Cole Crescent Suite 983, Carpentermouth, ME 20921"
57100,1,8,68876,"2959 Corey Lakes, Bakertown, WA 68876"
49584,2,8,55225,"04672 Davenport Island, Simpsonshire, AZ 55225"
13218,1,5,3894,"252 Nicole Row, Crawfordtown, MA 03894"
64686,1,5,28564,"7340 Samantha Path, North Robin, NY 28564"
15488,3,5,9766,"4270 Michael Wells, North Melissa, MT 09766"
44113,1,7,43227,"3229 Cole Brooks, Harrismouth, FL 43227"
69760,1,7,3599,"649 Santos Causeway Apt. 191, Rachelville, MD 03599"
91134,2,7,48515,"275 Smith Island Apt. 067, Lewistown, MD 48515"
14207,1,9,40574,"701 Micheal Mountain Suite 778, Dorothytown, MO 40574"
28189,1,3,72406,"3063 Hill Creek Apt. 217, East Danachester, NE 72406"
77387,1,8,84659,"888 Nielsen Common Suite 981, Garrettberg, CO 84659"
21250,3,5,10963,"878 Heather Wells, Holtport, WY 10963"
78574,3,10,95389,"30856 Michael Mission, Smithbury, IL 95389"
61002,1,7,99184,"4002 Wood Dale Apt. 448, New Michaelborough, AK 99184"
69122,3,8,53788,"38233 Michelle Crossroad, Sarahmouth, ID 53788"
37646,1,10,50514,"520 Howard Isle, Chenfort, MD 50514"
86748,2,7,39570,"6190 Erika Park, Lake Jeffrey, MD 39570"
35696,1,7,79952,"40180 Martin Knoll, Brookemouth, AR 79952"
81129,1,6,31044,"469 Tamara Glens Suite 611, South Jamesshire, MN 31044"
92134,1,3,5017,"444 John Mills Suite 401, West Dustinbury, FL 05017"
69929,1,7,78146,"894 Mcintyre Crest, Port Jacquelineberg, CT 78146"
44532,1,9,35713,"PSC 5958, Box 3584, APO AP 35713"
49655,3,8,20911,"2966 Alvarado Village Suite 996, New Roger, IL 20911"
60329,4,9,48408,"414 Maria Turnpike Apt. 029, North Justinberg, NE 48408"
49326,1,6,73831,"177 Lester Shores, New Kevinmouth, AZ 73831"
89155,1,6,18238,"21458 Michael Flat Apt. 512, South Rebecca, CT 18238"
18950,1,7,59154,"012 Reed Gardens Apt. 112, Brianberg, MO 59154"
99617,1,5,14602,"898 Brewer Spring Suite 451, Wardside, NJ 14602"
57426,1,4,35983,"8213 Nelson Unions, Lake Joseph, OK 35983"
32296,2,8,91082,"4740 Smith Ramp, New Isaacfort, OR 91082"
65706,1,7,8307,"32757 George Stravenue, North Paulamouth, TX 08307"
52483,1,8,13262,"96162 Brown Greens, South Terranceport, ND 13262"
88024,1,9,38734,"435 Scott Squares, Port Thomas, WA 38734"
56493,1,5,45436,"6867 Linda Ford, Port Jared, RI 45436"
61103,1,5,46203,"9145 Jessica Springs, Joshuafurt, ID 46203"
12310,1,4,91476,"615 Munoz Lock, North Josephburgh, GA 91476"
53376,1,5,27701,"USS Jordan, FPO AE 27701"
34697,1,6,27576,"14529 Murray Key, Kaylafurt, AZ 27576"
63388,2,7,9226,"51010 Davis Forge, North Travisville, NH 09226"
30730,1,7,13703,"9091 Jeffrey Junction, West Kaitlin, DE 13703"
36050,2,5,1818,"USNS Bailey, FPO AE 01818"
73587,1,4,78851,"252 Bill Court Suite 287, Robinsonland, KS 78851"
39758,1,6,51167,"57253 Amanda Island Apt. 743, Katiehaven, MA 51167"
88836,1,7,16728,"701 Elizabeth Garden Apt. 117, Hunttown, KS 16728"
18784,1,7,58035,"8969 Faith Stream Apt. 213, Lake Amy, CA 58035"
58527,1,5,37788,"787 Tracy Lake Apt. 282, Bethburgh, KY 37788"
44509,1,9,18928,"3548 Melton Groves, Lake Sheliaside, WV 18928"
